Tracts22.OBJECTID,Tracts22.STATEFP,Tracts22.COUNTYFP,Tracts22.TRACTCE,Tracts22.GEOID,Tracts22.NAME,Tracts22.NAMELSAD,Tracts22.MTFCC,Tracts22.FUNCSTAT,Tracts22.ALAND,Tracts22.AWATER,Tracts22.INTPTLAT,Tracts22.INTPTLON,Tracts22.Shape_Length,Tracts22.Shape_Area,Tracts22_Centroid_PA.PA2,Tracts22_Centroid_PA.SPDETAIL,Tracts22_Centroid_PA.SPDETAIL2
1,34,031,256804,34031256804,2568.04,Census Tract 2568.04,G5020,S,29792622,809082,+41.0787934,-074.3779531,0.301715235,0.003279016,13,HIGHLANDS PRESERVATION,HIGHLANDS
2,34,031,246300,34031246300,2463,Census Tract 2463,G5020,S,10100078,478623,+40.9104210,-074.2642143,0.246754444,0.00113069,1,METROPOLITAN,METRO
3,34,031,181200,34031181200,1812,Census Tract 1812,G5020,S,401623,0,+40.9242986,-074.1499553,0.02901459,4.29356E-05,1,METROPOLITAN,METRO
4,34,031,256803,34031256803,2568.03,Census Tract 2568.03,G5020,S,14231672,740595,+41.1221009,-074.3805752,0.236317872,0.001605359,13,HIGHLANDS PRESERVATION,HIGHLANDS
5,34,031,246003,34031246003,2460.03,Census Tract 2460.03,G5020,S,6580966,1795496,+40.9770103,-074.2610348,0.15726041,0.000896183,1,METROPOLITAN,METRO
6,34,031,223900,34031223900,2239,Census Tract 2239,G5020,S,860679,1233,+40.9023159,-074.2281117,0.054240258,9.21124E-05,1,METROPOLITAN,METRO
7,34,031,182400,34031182400,1824,Census Tract 1824,G5020,S,645069,0,+40.9118431,-074.1493663,0.038824376,6.89481E-05,1,METROPOLITAN,METRO
8,34,031,181702,34031181702,1817.02,Census Tract 1817.02,G5020,S,219351,0,+40.9159772,-074.1642955,0.021037273,2.34466E-05,1,METROPOLITAN,METRO
9,34,031,256805,34031256805,2568.05,Census Tract 2568.05,G5020,S,88015211,6258339,+41.0968567,-074.4256689,0.655838532,0.010101532,13,HIGHLANDS PRESERVATION,HIGHLANDS
10,34,031,124900,34031124900,1249,Census Tract 1249,G5020,S,730196,0,+40.8727123,-074.1388561,0.043087491,7.80015E-05,1,METROPOLITAN,METRO
11,34,031,116500,34031116500,1165,Census Tract 1165,G5020,S,22794891,1156236,+41.0354714,-074.3356133,0.263986864,0.002564538,13,HIGHLANDS PRESERVATION,HIGHLANDS
12,34,031,180700,34031180700,1807,Census Tract 1807,G5020,S,311465,37526,+40.9276974,-074.1685880,0.028040718,3.73112E-05,1,METROPOLITAN,METRO
13,34,031,124402,34031124402,1244.02,Census Tract 1244.02,G5020,S,3614514,151322,+40.8313394,-074.1354192,0.0801344,0.000402031,1,METROPOLITAN,METRO
14,34,031,256802,34031256802,2568.02,Census Tract 2568.02,G5020,S,49795596,3626239,+41.1437059,-074.3377319,0.374385337,0.005729985,13,HIGHLANDS PRESERVATION,HIGHLANDS
15,34,007,609206,34007609206,6092.06,Census Tract 6092.06,G5020,S,5431416,27590,+39.7329417,-074.9766568,0.123414976,0.00057356,2,SUBURBAN,SUBURBAN
16,34,007,603201,34007603201,6032.01,Census Tract 6032.01,G5020,S,4645240,2061,+39.9440849,-075.0311291,0.125735286,0.000489739,1,METROPOLITAN,METRO
17,34,007,603202,34007603202,6032.02,Census Tract 6032.02,G5020,S,4082509,225555,+39.9283765,-075.0445725,0.097813241,0.000453888,1,METROPOLITAN,METRO
18,34,007,609207,34007609207,6092.07,Census Tract 6092.07,G5020,S,13454308,52871,+39.7505516,-074.9588354,0.150347826,0.0014195,2,SUBURBAN,SUBURBAN
19,34,017,012800,34017012800,128,Census Tract 128,G5020,S,1303715,4266,+40.7537092,-074.1428351,0.05928233,0.000139478,1,METROPOLITAN,METRO
20,34,017,012900,34017012900,129,Census Tract 129,G5020,S,342422,0,+40.7589129,-074.1485287,0.033445943,3.65166E-05,1,METROPOLITAN,METRO
21,34,039,032004,34039032004,320.04,Census Tract 320.04,G5020,S,232569,0,+40.6611734,-074.2383714,0.02402409,2.47659E-05,1,METROPOLITAN,METRO
22,34,039,032401,34039032401,324.01,Census Tract 324.01,G5020,S,814882,5322,+40.6924331,-074.2321831,0.04006086,8.73832E-05,1,METROPOLITAN,METRO
23,34,039,032102,34039032102,321.02,Census Tract 321.02,G5020,S,765935,0,+40.6708795,-074.2433698,0.052337487,8.15748E-05,1,METROPOLITAN,METRO
24,34,039,039501,34039039501,395.01,Census Tract 395.01,G5020,S,590924,0,+40.6021152,-074.4363906,0.034470408,6.28721E-05,1,METROPOLITAN,METRO
25,34,039,032101,34039032101,321.01,Census Tract 321.01,G5020,S,840475,0,+40.6672043,-074.2389989,0.0503709,8.95092E-05,1,METROPOLITAN,METRO
26,34,039,030704,34039030704,307.04,Census Tract 307.04,G5020,S,263824,2296,+40.6580308,-074.2173913,0.022230806,2.83374E-05,1,METROPOLITAN,METRO
27,34,039,039502,34039039502,395.02,Census Tract 395.02,G5020,S,868293,0,+40.6011510,-074.4442166,0.06567096,9.23812E-05,1,METROPOLITAN,METRO
28,34,039,032003,34039032003,320.03,Census Tract 320.03,G5020,S,468144,0,+40.6618996,-074.2324530,0.034556049,4.98524E-05,1,METROPOLITAN,METRO
29,34,039,039301,34039039301,393.01,Census Tract 393.01,G5020,S,499702,0,+40.6136234,-074.4262373,0.033768677,5.31753E-05,1,METROPOLITAN,METRO
30,34,031,124311,34031124311,1243.11,Census Tract 1243.11,G5020,S,2443300,0,+40.8682616,-074.1775997,0.077476645,0.000260984,1,METROPOLITAN,METRO
31,34,031,124312,34031124312,1243.12,Census Tract 1243.12,G5020,S,2591192,8006,+40.8589269,-074.1865351,0.070286332,0.000277598,1,METROPOLITAN,METRO
32,34,031,124321,34031124321,1243.21,Census Tract 1243.21,G5020,S,2437381,0,+40.8655314,-074.1639331,0.068992038,0.00026034,1,METROPOLITAN,METRO
33,34,031,124322,34031124322,1243.22,Census Tract 1243.22,G5020,S,2371091,1700,+40.8468564,-074.1639982,0.080620256,0.000253373,1,METROPOLITAN,METRO
34,34,031,124323,34031124323,1243.23,Census Tract 1243.23,G5020,S,907069,0,+40.8528699,-074.1712470,0.047261297,9.68669E-05,1,METROPOLITAN,METRO
35,34,031,124500,34031124500,1245,Census Tract 1245,G5020,S,1699723,6500,+40.8658571,-074.1502100,0.058216157,0.000182244,1,METROPOLITAN,METRO
36,34,031,125000,34031125000,1250,Census Tract 1250,G5020,S,851789,75551,+40.8797100,-074.1306877,0.05660126,9.90714E-05,1,METROPOLITAN,METRO
37,34,031,125100,34031125100,1251,Census Tract 1251,G5020,S,415448,12369,+40.8767726,-074.1245887,0.030498876,4.57036E-05,1,METROPOLITAN,METRO
38,34,005,704015,34005704015,7040.15,Census Tract 7040.15,G5020,S,4492053,0,+39.9068805,-074.8728725,0.088760781,0.000473127,2,SUBURBAN,SUBURBAN
39,34,005,704016,34005704016,7040.16,Census Tract 7040.16,G5020,S,4709599,18163,+39.9069353,-074.9007038,0.103354922,0.000497981,3,FRINGE,FRINGE
40,34,031,124601,34031124601,1246.01,Census Tract 1246.01,G5020,S,1598519,0,+40.8859407,-074.1618379,0.069455507,0.000170792,1,METROPOLITAN,METRO
41,34,031,175200,34031175200,1752,Census Tract 1752,G5020,S,468099,68886,+40.8679442,-074.1146329,0.041934481,5.73582E-05,1,METROPOLITAN,METRO
42,34,013,020902,34013020902,209.02,Census Tract 209.02,G5020,S,9369871,59871,+40.8217373,-074.3101465,0.173325035,0.001006536,1,METROPOLITAN,METRO
43,34,013,021000,34013021000,210,Census Tract 210,G5020,S,3007961,2460,+40.8423084,-074.2519951,0.091373842,0.000321416,1,METROPOLITAN,METRO
44,34,013,021100,34013021100,211,Census Tract 211,G5020,S,1937554,1370,+40.8322884,-074.2326537,0.081279433,0.000206998,1,METROPOLITAN,METRO
